Test Function,Algorithm,Trial,Best Score,Time (s)
Rosenbrock,PSO,1,6.83216304770946,0.015731334686279297
Rosenbrock,PSO,2,100.86608750399998,0.013837337493896484
Rosenbrock,PSO,3,2507.7050194195085,0.014055728912353516
Rosenbrock,PSO,4,0.9150892336471166,0.01395559310913086
Rosenbrock,PSO,5,8.203376352413182,0.015200614929199219
Rosenbrock,PSO,6,306.98403884766,0.013922452926635742
Rosenbrock,PSO,7,7.132786473818488,0.01363515853881836
Rosenbrock,PSO,8,1.20894991659636,0.014615535736083984
Rosenbrock,PSO,9,6.140213727439958,0.014444112777709961
Rosenbrock,PSO,10,7.43852146704177,0.013738632202148438
Rosenbrock,PSO,11,9.01276255474038,0.014361381530761719
Rosenbrock,PSO,12,7.4121804419270045,0.013603925704956055
Rosenbrock,PSO,13,5.581191269337986,0.013418436050415039
Rosenbrock,PSO,14,5.6745151065275365,0.014058828353881836
Rosenbrock,PSO,15,9.507135161942127,0.014087438583374023
Rosenbrock,PSO,16,5.0053483289417295,0.0160672664642334
Rosenbrock,PSO,17,6.989181002371181,0.013777017593383789
Rosenbrock,PSO,18,67.13666505117706,0.01376962661743164
Rosenbrock,PSO,19,5.618343487317009,0.013497352600097656
Rosenbrock,PSO,20,4.273280150343232,0.013874530792236328
Rosenbrock,PSO,21,6.653143714657239,0.014626502990722656
Rosenbrock,PSO,22,6.050123938411391,0.013959884643554688
Rosenbrock,PSO,23,998.0132280982127,0.014523983001708984
Rosenbrock,PSO,24,7.748884629071291,0.014983177185058594
Rosenbrock,PSO,25,7.174137016608871,0.01446676254272461
Rosenbrock,PSO,26,1.542761499249267,0.013767004013061523
Rosenbrock,PSO,27,1.092870799688984,0.014609813690185547
Rosenbrock,PSO,28,9.066875891945383,0.014024972915649414
Rosenbrock,PSO,29,7.436156212317478,0.013204097747802734
Rosenbrock,PSO,30,7.6984009029553615,0.014519691467285156
Rosenbrock,ACO,1,14.10760385381831,1.2083842754364014
Rosenbrock,ACO,2,10.11949195558569,1.2360165119171143
Rosenbrock,ACO,3,9.708702082585129,1.2058756351470947
Rosenbrock,ACO,4,9.390600807610001,1.1850948333740234
Rosenbrock,ACO,5,12.487343594063036,1.192626953125
Rosenbrock,ACO,6,10.160411129511449,1.1934027671813965
Rosenbrock,ACO,7,10.164133161631948,1.2122018337249756
Rosenbrock,ACO,8,12.322377943165144,1.2048835754394531
Rosenbrock,ACO,9,16.349766589939286,1.2147183418273926
Rosenbrock,ACO,10,10.209609415617411,-6.449801921844482
