Test Function,Algorithm,Trial,Best Score,Time (s)
Sphere,PSO,1,0.004700288703071312,0.007540225982666016
Sphere,PSO,2,0.004056189360573589,0.0064051151275634766
Sphere,PSO,3,0.00466572472367034,0.0065081119537353516
Sphere,PSO,4,0.009533467536011038,0.006781101226806641
Sphere,PSO,5,0.013610270609745024,0.006529808044433594
Sphere,PSO,6,0.004925626618380153,0.00633549690246582
Sphere,PSO,7,0.021927142576254933,0.00642848014831543
Sphere,PSO,8,0.009225879403499941,0.006937503814697266
Sphere,PSO,9,0.008150959328435405,0.0071637630462646484
Sphere,PSO,10,0.005799225666826877,0.006389141082763672
Sphere,PSO,11,0.017234228505667117,0.006287813186645508
Sphere,PSO,12,0.004489111842940289,0.006333589553833008
Sphere,PSO,13,0.010421490950770424,0.007155656814575195
Sphere,PSO,14,0.010500174437331644,0.006836652755737305
Sphere,PSO,15,0.008482225324500355,0.006306886672973633
Sphere,PSO,16,0.02769744220680832,0.007791757583618164
Sphere,PSO,17,0.007290996844321455,0.006365299224853516
Sphere,PSO,18,0.028766853022851327,0.006313800811767578
Sphere,PSO,19,0.0027424781670485187,0.006996631622314453
Sphere,PSO,20,0.0033912375056322722,0.006874561309814453
Sphere,PSO,21,0.0134059411021704,0.006148099899291992
Sphere,PSO,22,0.019552498247612633,0.006516218185424805
Sphere,PSO,23,0.009183990747408397,0.006558656692504883
Sphere,PSO,24,0.009886062957561436,0.0068933963775634766
Sphere,PSO,25,0.0026920476205678713,0.006731271743774414
Sphere,PSO,26,0.0018361012562973834,0.006370067596435547
Sphere,PSO,27,0.010866292059628836,0.006647586822509766
Sphere,PSO,28,0.012102307767275305,0.0075647830963134766
Sphere,PSO,29,0.00625490246155807,0.007387399673461914
Sphere,PSO,30,0.006784220317609797,0.006948709487915039
Sphere,ACO,1,0.2037105812418431,1.1939172744750977
Sphere,ACO,2,0.3098953052749405,1.1239440441131592
Sphere,ACO,3,0.27932150889871993,1.2307872772216797
Sphere,ACO,4,0.1850242638327794,1.2202458381652832
Sphere,ACO,5,0.14835890339453872,1.2139239311218262
Sphere,ACO,6,0.48136866327874894,8.500123977661133
Sphere,ACO,7,0.11558081784857516,-6.152312994003296
Sphere,ACO,8,0.2602640800389086,1.1901230812072754
Sphere,ACO,9,0.5843499520295973,1.2077152729034424
Sphere,ACO,10,0.13099790162377883,1.2063734531402588
Sphere,ACO,11,0.21831554518127302,1.1161818504333496
Sphere,ACO,12,0.22775029892731213,1.1950278282165527
Sphere,ACO,13,0.40403285577341963,1.1866137981414795
Sphere,ACO,14,0.14165384997407804,1.2053494453430176
Sphere,ACO,15,0.24410766283859234,1.1596627235412598
Sphere,ACO,16,0.16567926083253115,1.2064616680145264
Sphere,ACO,17,0.2505298462112159,1.205430507659912
Sphere,ACO,18,0.5237652351918771,1.2189908027648926
Sphere,ACO,19,0.13590301118923157,1.1208806037902832
Sphere,ACO,20,0.2728590726749335,1.2216649055480957
Sphere,ACO,21,0.6069122174718641,1.2665295600891113
Sphere,ACO,22,0.29045833860824033,1.2006733417510986
Sphere,ACO,23,0.8162038426938626,1.1673541069030762
Sphere,ACO,24,0.183663981675408,1.2151250839233398
Sphere,ACO,25,0.37277843873903566,1.188654899597168
Sphere,ACO,26,0.14418846545400835,1.2142508029937744
Sphere,ACO,27,0.10921624998276355,8.491552352905273
Sphere,ACO,28,0.10662493913617381,-6.171352386474609
Sphere,ACO,29,0.14848189307165194,1.1994924545288086
Sphere,ACO,30,0.16292404826712473,1.1902720928192139
Sphere,ABC,1,26.437495570597573,0.1020963191986084
Sphere,ABC,2,5.114091708718909,0.10428428649902344
Sphere,ABC,3,18.16803143908223,0.1058042049407959
Sphere,ABC,4,16.43668650082868,0.0970454216003418
Sphere,ABC,5,15.915953040339362,0.09793925285339355
Sphere,ABC,6,5.125639131455837,0.10747671127319336
Sphere,ABC,7,18.069252183354894,0.1005547046661377
Sphere,ABC,8,5.211943083505867,0.10159730911254883
Sphere,ABC,9,17.54025011741173,0.10667085647583008
Sphere,ABC,10,14.816573267671204,0.10385632514953613
Sphere,ABC,11,21.69711516964438,0.10558772087097168
Sphere,ABC,12,17.63711575432662,0.10188055038452148
Sphere,ABC,13,56.154856506585816,7.389420747756958
Sphere,ABC,14,14.3341027785163,0.09964275360107422
Sphere,ABC,15,9.96453890972897,-7.270971298217773
Sphere,ABC,16,14.75808484833602,0.09700322151184082
Sphere,ABC,17,51.40669445023987,0.1029353141784668
Sphere,ABC,18,43.670278027793714,0.09694528579711914
Sphere,ABC,19,16.612408703309548,0.09761381149291992
Sphere,ABC,20,43.7371506957746,0.10081934928894043
Sphere,ABC,21,33.97124886650276,0.09809565544128418
Sphere,ABC,22,30.14206930606533,0.09553265571594238
Sphere,ABC,23,12.587827199250409,0.10011577606201172
Sphere,ABC,24,30.52127643475336,0.09519314765930176
Sphere,ABC,25,22.940797941784812,0.09705376625061035
Sphere,ABC,26,81.35756824239418,0.10354208946228027
Sphere,ABC,27,13.089720540492715,0.0990293025970459
Sphere,ABC,28,61.70756029255832,0.09824824333190918
Sphere,ABC,29,55.5134307786676,0.09865450859069824
