Problem Size,Algorithm,Trial,Total Value
20,Genetic Algorithm,1,785
20,Genetic Algorithm,2,693
20,Genetic Algorithm,3,788
20,Genetic Algorithm,4,719
20,Genetic Algorithm,5,873
20,Genetic Algorithm,6,758
20,Genetic Algorithm,7,783
20,Genetic Algorithm,8,839
20,Genetic Algorithm,9,635
20,Genetic Algorithm,10,632
20,Genetic Algorithm,11,694
20,Genetic Algorithm,12,642
20,Genetic Algorithm,13,750
20,Genetic Algorithm,14,664
20,Genetic Algorithm,15,663
20,Hill Climbing,1,787
20,Hill Climbing,2,670
20,Hill Climbing,3,788
20,Hill Climbing,4,705
20,Hill Climbing,5,847
20,Hill Climbing,6,758
20,Hill Climbing,7,783
20,Hill Climbing,8,839
20,Hill Climbing,9,633
20,Hill Climbing,10,632
20,Hill Climbing,11,694
20,Hill Climbing,12,638
20,Hill Climbing,13,764
20,Hill Climbing,14,664
20,Hill Climbing,15,683
20,Simulated Annealing,1,787
20,Simulated Annealing,2,670
20,Simulated Annealing,3,788
20,Simulated Annealing,4,710
20,Simulated Annealing,5,847
20,Simulated Annealing,6,758
20,Simulated Annealing,7,783
20,Simulated Annealing,8,839
20,Simulated Annealing,9,633
20,Simulated Annealing,10,632
20,Simulated Annealing,11,694
20,Simulated Annealing,12,638
20,Simulated Annealing,13,764
20,Simulated Annealing,14,664
20,Simulated Annealing,15,683
30,Genetic Algorithm,1,1070
30,Genetic Algorithm,2,970
30,Genetic Algorithm,3,1162
30,Genetic Algorithm,4,861
30,Genetic Algorithm,5,1202
30,Genetic Algorithm,6,1015
30,Genetic Algorithm,7,1178
30,Genetic Algorithm,8,1408
30,Genetic Algorithm,9,1145
30,Genetic Algorithm,10,932
30,Genetic Algorithm,11,1184
30,Genetic Algorithm,12,1055
30,Genetic Algorithm,13,1278
30,Genetic Algorithm,14,1211
30,Genetic Algorithm,15,1164
30,Hill Climbing,1,1070
30,Hill Climbing,2,984
30,Hill Climbing,3,1168
30,Hill Climbing,4,861
30,Hill Climbing,5,1231
30,Hill Climbing,6,1044
30,Hill Climbing,7,1209
30,Hill Climbing,8,1408
30,Hill Climbing,9,1167
30,Hill Climbing,10,955
30,Hill Climbing,11,1236
30,Hill Climbing,12,1074
30,Hill Climbing,13,1285
30,Hill Climbing,14,1232
30,Hill Climbing,15,1176
30,Simulated Annealing,1,1070
30,Simulated Annealing,2,984
30,Simulated Annealing,3,1168
30,Simulated Annealing,4,861
30,Simulated Annealing,5,1231
30,Simulated Annealing,6,1044
30,Simulated Annealing,7,1209
30,Simulated Annealing,8,1408
30,Simulated Annealing,9,1167
30,Simulated Annealing,10,955
30,Simulated Annealing,11,1236
30,Simulated Annealing,12,1074
30,Simulated Annealing,13,1295
30,Simulated Annealing,14,1232
30,Simulated Annealing,15,1176
50,Genetic Algorithm,1,1988
50,Genetic Algorithm,2,1765
50,Genetic Algorithm,3,1578
50,Genetic Algorithm,4,1721
50,Genetic Algorithm,5,1761
50,Genetic Algorithm,6,1729
50,Genetic Algorithm,7,2027
50,Genetic Algorithm,8,1844
50,Genetic Algorithm,9,1940
50,Genetic Algorithm,10,1698
50,Genetic Algorithm,11,1812
50,Genetic Algorithm,12,1797
50,Genetic Algorithm,13,1740
50,Genetic Algorithm,14,2066
50,Genetic Algorithm,15,1851
50,Hill Climbing,1,2052
50,Hill Climbing,2,1853
50,Hill Climbing,3,1609
50,Hill Climbing,4,1820
50,Hill Climbing,5,1771
50,Hill Climbing,6,1773
50,Hill Climbing,7,2070
50,Hill Climbing,8,1889
50,Hill Climbing,9,2045
50,Hill Climbing,10,1708
50,Hill Climbing,11,1845
50,Hill Climbing,12,1912
50,Hill Climbing,13,1803
50,Hill Climbing,14,2134
50,Hill Climbing,15,1857
50,Simulated Annealing,1,2052
50,Simulated Annealing,2,1853
50,Simulated Annealing,3,1609
50,Simulated Annealing,4,1820
50,Simulated Annealing,5,1771
50,Simulated Annealing,6,1773
50,Simulated Annealing,7,2070
50,Simulated Annealing,8,1889
50,Simulated Annealing,9,2045
50,Simulated Annealing,10,1708
50,Simulated Annealing,11,1845
50,Simulated Annealing,12,1912
50,Simulated Annealing,13,1803
50,Simulated Annealing,14,2134
50,Simulated Annealing,15,1857
